DOI,NAME,ID,Mg (wt%»òÕßat %),Al,Zn,Y,Zr,Sm,Mn,Gd,Ca,In,Bi,Li,Sn,Ce,Ga,Si,Ba,Nd,Pb,La,Ag,Er,Ge,Cd,Cu,Pr,Sr,Th,µÚ¶þÏà,ÔþÖÆÎÂ¶È ¡æ,ÔþÖÆ×ÜÑ¹ÏÂÁ¿%,¼·Ñ¹ÎÂ¶È ¡æ,¼·Ñ¹±È,¼·Ñ¹ËÙ¶È(µ¥Î»),¾ùÖÊÎÂ¶È ¡æ,¾ùÖÊÊ±¼ä h,ÍË»ðÎÂ¶È ¡æ,ÍË»ðÊ±¼ä h,¹ÌÈÜÎÂ¶È ¡æ,¹ÌÈÜÊ±¼ä h,Ê±Ð§ÎÂ¶È¡æ,Ê±Ð§Ê±¼ä h,´ã»ð ¡æ,¾§Á£³ß´ç (¦Ìm),ÎöÇâËÙÂÊ£¨mL cm?2 h?1£©,Ä¿±êµÄ¼Ó¹¤·½Ê½,Ä¿±êµÄ²âÊÔÌõ¼þ 1,·ÅµçÊ±¼ä£¨h£©,Òõ¼«´ß»¯¼Á,Ä¿±ê1£¨µçÑ¹/ V£©,Ä¿±ê2£¨ÀûÓÃÂÊ/%£©,Ä¿±ê3£¨±ÈÈÝÁ¿mAh g-1£©,Ä¿±ê4£¨±ÈÄÜÁ¿ mWh g-1£©,¼ÆËã±ÈÄÜÁ¿,Í³¼Æ,Ð£¶Ô
10.1002/adem.201901332,Mg¨C9Al,MAB00001,91.02,8.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,¦Â-Mg17Al12,,,320,16:01,0.5 mm s-1,420,24,,,,,,,,7.6,,¼·Ñ¹,10 mA cm-2,10,C/MnO2,1.23*,35.227,801.5413177,985.8958207,985.8958207,ÁèÄþ,ËÎæ©æ©
10.1002/adem.201901332,Mg¨C9Al,MAB00002,91.02,8.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,¦Â-Mg17Al12,,,320,16:01,0.5 mm s-1,420,24,,,,,,,,7.6,,¼·Ñ¹,150 mA cm-2,1,C/MnO2,0.31*,72.214,1643.128984,509.369985,509.369985,ÁèÄþ,ËÎæ©æ©
10.1002/adem.201901332,Mg¨C9Al¨C0.5In,MAB00003,90.48,9.03,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,¦Â-Mg17Al12,,,320,16:01,0.5 mm s-1,420,24,,,,,,,,2.23,,¼·Ñ¹,10 mA cm-2,10,C/MnO2,1.3*,49.156,1114.776116,1449.20895,1449.20895,ÁèÄþ,ËÎæ©æ©
10.1002/adem.201901332,Mg¨C9Al¨C0.5In,MAB00004,90.48,9.03,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,¦Â-Mg17Al12,,,320,16:01,0.5 mm s-1,420,24,,,,,,,,2.23,,¼·Ñ¹,150 mA cm-2,1,C/MnO2,0.37*,78.228,1774.0806,656.409822,656.409822,ÁèÄþ,ËÎæ©æ©
10.1002/adem.201901332,Mg¨C9Al¨C1.0In,MAB00005,90.06,8.97,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,¦Â-Mg17Al12,,,320,16:01,0.5 mm s-1,420,24,,,,,,,,3.51,,¼·Ñ¹,10 mA cm-2,10,C/MnO2,1.35*,40.097,906.3148174,1223.525004,1223.525004,ÁèÄþ,ËÎæ©æ©
10.1002/adem.201901332,Mg¨C9Al¨C1.0In,MAB00006,90.06,8.97,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,¦Â-Mg17Al12,,,320,16:01,0.5 mm s-1,420,24,,,,,,,,3.51,,¼·Ñ¹,150 mA cm-2,1,C/MnO2,0.4*,74.405,1681.780532,672.7122128,672.7122128,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2016.07.002,Mg-8Li-3Al-1Ce-1Y,MAB00007,87,3,0,1,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,¦Â-Li¡¢Al2Ce¡¢Al2Y¡¢Mg24Y5ºÍMgCe,,,,,,,,,,,,,,,,,ÖýÌ¬,10 mA cm-2,10,C/MnO2,1.45*,36.1,842.5645759,1221.718635,1221.718635,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2016.07.002,Mg-8Li-3Al-1Ce-1Y,MAB00008,87,3,0,1,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,¦Â-Li¡¢Al2Ce¡¢Al2Y¡¢Mg24Y5ºÍMgCe,,,,,,,,,,,,,,,,,ÖýÌ¬,180 mA cm-2,1,C/MnO2,0.38*,71.8,1675.793256,636.8014373,636.8014373,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2016.07.002,Mg-8Li-3Al-1Ce-1Y-1Zn,MAB00009,86,3,1,1,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,¦Â-Li¡¢AlLi¡¢Al2Ce¡¢Al2Y¡¢Mg24Y5ºÍMgCe,,,,,,,,,,,,,,,,,ÖýÌ¬,10 mA cm-2,10,C/MnO2,1.52*,60.6,1405.987437,2137.100904,2137.100904,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2016.07.002,Mg-8Li-3Al-1Ce-1Y-1Zn,MAB00010,86,3,1,1,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,¦Â-Li¡¢AlLi¡¢Al2Ce¡¢Al2Y¡¢Mg24Y5ºÍMgCe,,,,,,,,,,,,,,,,,ÖýÌ¬,180 mA cm-2,1,C/MnO2,0.54*,75.2,1744.723684,942.1507892,942.1507892,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2016.07.002,Pure Mg,MAB00011,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,ÖýÌ¬,10 mA cm-2,10,C/MnO2,1.44*,53.6,1182.349337,1702.583045,1702.583045,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2016.07.002,Pure Mg,MAB00012,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,ÖýÌ¬,180 mA cm-2,1,C/MnO2,,64,1411.760402,,,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2016.07.002,AZ31,MAB00013,96,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12,,,,,,,,,,,,,,,,,ÖýÌ¬,10 mA cm-2,10,C/MnO2,1.36*,53.7,1189.548819,1617.786394,1617.786394,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2016.07.002,AZ31,MAB00014,96,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12,,,,,,,,,,,,,,,,,ÖýÌ¬,180 mA cm-2,1,C/MnO2,,69.1,1530.685725,,,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2018.08.003,Mg-6 Al-5 Pb-0.5Zn-0.2Mn-RS,MAB00015,88.3,6,0.5,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Al8Mn5,,,,,,400,24,400,0.5,,,,,,32.5,,ÔþÖÆ,10 mA cm-2,10,,?1.719,37.1,801.482663,,,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2018.08.003,Mg-6 Al-5 Pb-0.5Zn-0.2Mn-RS,MAB00016,88.3,6,0.5,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Al8Mn5,,,,,,400,24,400,0.5,,,,,,32.5,,ÔþÖÆ,180 mA cm-2,1,,?1.678,84.3,1821.158719,,,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2018.08.003,Mg-6 Al-5 Pb-0.5Zn-0.2Mn-CS,MAB00017,88.3,6,0.5,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Al8Mn5,,,,,,400,24,400,0.5,,,,,,38.9,,ÔþÖÆ,10 mA cm-2,10,,?1.782,41.5,896.5372107,,,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2018.08.003,Mg-6 Al-5 Pb-0.5Zn-0.2Mn-CS,MAB00018,88.3,6,0.5,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Al8Mn5,,,,,,400,24,400,0.5,,,,,,38.9,,ÔþÖÆ,180 mA cm-2,1,,?1.742,80.6,1741.226486,,,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2018.08.003,Mg-6 Al-5 Pb-0.2Ce-0.2Y-RS,MAB00019,88.6,6,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Al2Ce¡¢Al2Y,,,,,,400,24,400,0.5,,,,,,24.9,,ÔþÖÆ,10 mA cm-2,10,C/MnO2,1.248,56.6,1223.640199,1527.102968,1527.102968,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2018.08.003,Mg-6 Al-5 Pb-0.2Ce-0.2Y-RS,MAB00020,88.6,6,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Al2Ce¡¢Al2Y,,,,,,400,24,400,0.5,,,,,,24.9,,ÔþÖÆ,20 mA cm-2,1,C/MnO2,0.939,65.3,1411.726236,1325.610936,1325.610936,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2018.08.003,Mg-6 Al-5 Pb-0.2Ce-0.2Y-CS,MAB00021,88.6,6,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Al2Ce¡¢Al2Y,,,,,,400,24,400,0.5,,,,,,28,,ÔþÖÆ,10 mA cm-2,10,C/MnO2,1.282,64.8,1400.916694,1795.975202,1795.975202,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2018.08.003,Mg-6 Al-5 Pb-0.2Ce-0.2Y-CS,MAB00022,88.6,6,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Al2Ce¡¢Al2Y,,,,,,400,24,400,0.5,,,,,,28,,ÔþÖÆ,20 mA cm-2,1,C/MnO2,0.982,65.4,1413.888145,1388.438158,1388.438158,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2019.03.050,Mg-0.5Ca£¨AC£©,MAB00023,99.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg2Ca,,,,,,,,,,,,,,,577,,ÖýÌ¬,2 mA cm-2,8,C/MnO2,1.52*,37.1,821.7105263,1249,,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2019.03.050,Mg-0.5Ca£¨AC£©,MAB00024,99.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg2Ca,,,,,,,,,,,,,,,577,,ÖýÌ¬,10 mA cm-2,8,C/MnO2,1.29*,47.5,1046.511628,1350,,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2019.03.050,Mg-0.5Ca£¨WC£©,MAB00025,99.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg2Ca,,,,,,,,,,,,,,,438,,ÖýÌ¬,2 mA cm-2,8,C/MnO2,1.5*,44.5,993.3333333,1490,,ÁèÄþ,ËÎæ©æ©
10.1016/j.corsci.2019.03.050,Mg-0.5Ca£¨WC£©,MAB00026,99.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg2Ca,,,,,,,,,,,,,,,438,,ÖýÌ¬,10 mA cm-2,8,C/MnO2,1.28*,53.2,1195.3125,1530,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80,MAB00027,91.112,8.01,0.492,0,0,0,0.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12,,,,,,,,,,,,,,,270,,ÖýÌ¬,2.5 mA cm-2,10,C/MnO2,1.396,27,611,852.956,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80,MAB00028,91.112,8.01,0.492,0,0,0,0.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12,,,,,,,,,,,,,,,270,,ÖýÌ¬,5 mA cm-2,10,C/MnO2,1.385,42.5*,940*,1301.9,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80,MAB00029,91.112,8.01,0.492,0,0,0,0.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12,,,,,,,,,,,,,,,270,,ÖýÌ¬,10 mA cm-2,10,C/MnO2,1.327,47.5*,1080*,1433.16,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80,MAB00030,91.112,8.01,0.492,0,0,0,0.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12,,,,,,,,,,,,,,,270,,ÖýÌ¬,20 mA cm-2,10,C/MnO2,1.239,52.5*,1180*,1462.02,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80,MAB00031,91.112,8.01,0.492,0,0,0,0.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12,,,,,,,,,,,,,,,270,,ÖýÌ¬,40 mA cm-2,10,C/MnO2,1.047,55,1230,1510,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80,MAB00032,91.112,8.01,0.492,0,0,0,0.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12,,,,,,,,,,,,,,,270,,ÖýÌ¬,80 mA cm-2,10,C/MnO2,0.825,45*,1010*,833.25,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80-1Sm,MAB00033,90.105,7.98,0.511,0,0,1.02,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12¡¢Al2Sm,,,,,,,,,,,,,,,157,,ÖýÌ¬,2.5 mA cm-2,10,C/MnO2,1.418,29*,630*,893.34,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80-1Sm,MAB00034,90.105,7.98,0.511,0,0,1.02,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12¡¢Al2Sm,,,,,,,,,,,,,,,157,,ÖýÌ¬,5 mA cm-2,10,C/MnO2,1.398,44.5*,1000*,1398,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80-1Sm,MAB00035,90.105,7.98,0.511,0,0,1.02,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12¡¢Al2Sm,,,,,,,,,,,,,,,157,,ÖýÌ¬,10 mA cm-2,10,C/MnO2,1.347,50*,1100*,1481.7,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80-1Sm,MAB00036,90.105,7.98,0.511,0,0,1.02,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12¡¢Al2Sm,,,,,,,,,,,,,,,157,,ÖýÌ¬,20 mA cm-2,10,C/MnO2,1.27,54*,1200*,1524,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80-1Sm,MAB00037,90.105,7.98,0.511,0,0,1.02,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12¡¢Al2Sm,,,,,,,,,,,,,,,157,,ÖýÌ¬,40 mA cm-2,10,C/MnO2,1.091,57.5*,1280*,1396.48,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80-1Sm,MAB00038,90.105,7.98,0.511,0,0,1.02,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12¡¢Al2Sm,,,,,,,,,,,,,,,157,,ÖýÌ¬,80 mA cm-2,10,C/MnO2,0.892,49.5*,1100*,981.2,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80-2Sm,MAB00039,89.049,8.06,0.492,0,0,2.02,0.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12¡¢Al2Sm,,,,,,,,,,,,,,,133,,ÖýÌ¬,2.5 mA cm-2,10,C/MnO2,1.436,35*,790*,1134.44,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80-2Sm,MAB00040,89.049,8.06,0.492,0,0,2.02,0.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12¡¢Al2Sm,,,,,,,,,,,,,,,133,,ÖýÌ¬,5 mA cm-2,10,C/MnO2,1.412,45*,1010*,1426.12,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80-2Sm,MAB00041,89.049,8.06,0.492,0,0,2.02,0.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12¡¢Al2Sm,,,,,,,,,,,,,,,133,,ÖýÌ¬,10 mA cm-2,10,C/MnO2,1.36,54*,1200*,1632,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80-2Sm,MAB00042,89.049,8.06,0.492,0,0,2.02,0.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12¡¢Al2Sm,,,,,,,,,,,,,,,133,,ÖýÌ¬,20 mA cm-2,10,C/MnO2,1.294,57*,1240*,1604.56,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80-2Sm,MAB00043,89.049,8.06,0.492,0,0,2.02,0.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12¡¢Al2Sm,,,,,,,,,,,,,,,133,,ÖýÌ¬,40 mA cm-2,10,C/MnO2,1.11,62.5*,1380*,1531.8,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80-2Sm,MAB00044,89.049,8.06,0.492,0,0,2.02,0.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12¡¢Al2Sm,,,,,,,,,,,,,,,133,,ÖýÌ¬,80 mA cm-2,10,C/MnO2,0.943,51*,1120*,1056.16,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80-3Sm,MAB00045,88.028,8.02,0.503,0,0,3.06,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12¡¢Al2Sm,,,,,,,,,,,,,,,126,,ÖýÌ¬,2.5 mA cm-2,10,C/MnO2,1.442,43,933,1345.386,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80-3Sm,MAB00046,88.028,8.02,0.503,0,0,3.06,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12¡¢Al2Sm,,,,,,,,,,,,,,,126,,ÖýÌ¬,5 mA cm-2,10,C/MnO2,1.44,54*,1190*,1713.6,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80-3Sm,MAB00047,88.028,8.02,0.503,0,0,3.06,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12¡¢Al2Sm,,,,,,,,,,,,,,,126,,ÖýÌ¬,10 mA cm-2,10,C/MnO2,1.383,57.5*,1270*,1719,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80-3Sm,MAB00048,88.028,8.02,0.503,0,0,3.06,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12¡¢Al2Sm,,,,,,,,,,,,,,,126,,ÖýÌ¬,20 mA cm-2,10,C/MnO2,1.317,60*,1320*,1719,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80-3Sm,MAB00049,88.028,8.02,0.503,0,0,3.06,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12¡¢Al2Sm,,,,,,,,,,,,,,,126,,ÖýÌ¬,40 mA cm-2,10,C/MnO2,1.151,65,1439,1656.289,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2020.136315,AZ80-3Sm,MAB00050,88.028,8.02,0.503,0,0,3.06,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12¡¢Al2Sm,,,,,,,,,,,,,,,126,,ÖýÌ¬,80 mA cm-2,10,C/MnO2,0.985,53*,1180*,1162.3,,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2014.10.053,Mg-6Al-5Pb,MAB00051,89,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,400,24,,,,,,,,¾ùÖÊ,10 mA cm-2,10,C/MnO2,1.45*,46.5,1008.015515,1461.622497,1461.622497,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2014.10.053,Mg-6Al-5Pb,MAB00052,89,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,400,24,,,,,,,,¾ùÖÊ,180 mA cm-2,1,C/MnO2,0.3*,82.1,1779.743523,533.9230569,533.9230569,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2014.10.053,Mg-6Al-5Pb-1In,MAB00053,88,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,400,24,,,,,,,,¾ùÖÊ,10 mA cm-2,10,C/MnO2,1.5*,41.4,891.2262427,1336.839364,1336.839364,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2014.10.053,Mg-6Al-5Pb-1In,MAB00054,88,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,400,24,,,,,,,,¾ùÖÊ,180 mA cm-2,1,C/MnO2,0.5*,87.7,1887.935785,943.9678923,943.9678923,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2014.10.053,Pure Mg,MAB00055,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,ÖýÌ¬,10 mA cm-2,10,C/MnO2,1.42*,55.6,1226.46685,1741.582926,1741.582926,ÁèÄþ,ËÎæ©æ©
10.1016/j.electacta.2014.10.053,Pure Mg,MAB00056,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,ÖýÌ¬,180 mA cm-2,1,C/MnO2,0.1*,64,1411.760402,141.1760402,141.1760402,ÁèÄþ,ËÎæ©æ©
10.1016/j.energy.2019.116314,AZ31,MAB00057,95.41,3.49,0.88,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12,,,350,18:01,2 mm s-1,420,24,,,,,,,,,,¼·Ñ¹,2.5 mA cm-2,10,C/MnO2,,29.1,620*,900*,,ÁèÄþ,ËÎæ©æ©
10.1016/j.energy.2019.116314,AZ31,MAB00058,95.41,3.49,0.88,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12,,,350,18:01,2 mm s-1,420,24,,,,,,,,,,¼·Ñ¹,5 mA cm-2,10,C/MnO2,,,710*,990*,,ÁèÄþ,ËÎæ©æ©
10.1016/j.energy.2019.116314,AZ31,MAB00059,95.41,3.49,0.88,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12,,,350,18:01,2 mm s-1,420,24,,,,,,,,,,¼·Ñ¹,10 mA cm-2,10,C/MnO2,,,980*,1250*,,ÁèÄþ,ËÎæ©æ©
10.1016/j.energy.2019.116314,AZ31,MAB00060,95.41,3.49,0.88,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12,,,350,18:01,2 mm s-1,420,24,,,,,,,,,,¼·Ñ¹,20 mA cm-2,10,C/MnO2,,,1220*,1495,,ÁèÄþ,ËÎæ©æ©
10.1016/j.energy.2019.116314,AZ31,MAB00061,95.41,3.49,0.88,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12,,,350,18:01,2 mm s-1,420,24,,,,,,,,,,¼·Ñ¹,40 mA cm-2,10,C/MnO2,,,1420*,1200*,,ÁèÄþ,ËÎæ©æ©
10.1016/j.energy.2019.116314,AZ31,MAB00062,95.41,3.49,0.88,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg17Al12,,,350,18:01,2 mm s-1,420,24,,,,,,,,,,¼·Ñ¹,80 mA cm-2,10,C/MnO2,,66,1458,455,,ÁèÄþ,ËÎæ©æ©
10.1016/j.energy.2019.116314,AZ31-Gd,MAB00063,94.23,3.38,0.91,0,0,0,0.17,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al2Gd,,,350,18:01,2 mm s-1,420,24,,,,,,,,,,¼·Ñ¹,2.5 mA cm-2,10,C/MnO2,,45.5,996,1400*,,ÁèÄþ,ËÎæ©æ©
10.1016/j.energy.2019.116314,AZ31-Gd,MAB00064,94.23,3.38,0.91,0,0,0,0.17,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al2Gd,,,350,18:01,2 mm s-1,420,24,,,,,,,,,,¼·Ñ¹,5 mA cm-2,10,C/MnO2,,,1070*,1430*,,ÁèÄþ,ËÎæ©æ©
10.1016/j.energy.2019.116314,AZ31-Gd,MAB00065,94.23,3.38,0.91,0,0,0,0.17,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al2Gd,,,350,18:01,2 mm s-1,420,24,,,,,,,,,,¼·Ñ¹,10 mA cm-2,10,C/MnO2,,,1280*,1623,,ÁèÄþ,ËÎæ©æ©
10.1016/j.energy.2019.116314,AZ31-Gd,MAB00066,94.23,3.38,0.91,0,0,0,0.17,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al2Gd,,,350,18:01,2 mm s-1,420,24,,,,,,,,,,¼·Ñ¹,20 mA cm-2,10,C/MnO2,,61,1334,1570,,ÁèÄþ,ËÎæ©æ©
